City,Unnamed: 0,Pop (2000),lat,lon,pop (2010)
Zhongshan,0,0,22.52,113.38,1133800
Macheng,0,0,31.32,115.1,1151000
Lichuan,0,0,30.29,108.93,1089300
Zhumadian,0,0,32.98,114.03,1140300
Huzhou,0,0,30.87,120.1,1201000
Xiantao,0,0,30.37,113.45,1134500
Quzhou,0,0,28.95,118.87,1188700
Heibi,0,0,35.9,114.2,1142000
Zhijiang,0,0,30.43,111.76,1117600
Ningde,0,0,26.67,119.52,1195200
Zibo,0,0,36.78,118.05,1180500
Hanchuan,0,0,31.25,113.68,1136800
Yichun2,0,0,27.8,114.38,5419592
Yingtan,0,0,28.23,117,1124906
Tianmen,0,0,30.67,113.17,1731482
Dujiangyan,0,0,31,103.62,657996
Siping,0,0,43.17,124.37,3386325
Shaoguan,0,0,24.82,113.6,2826246
Qiandongnan,0,0,26.58,107.97,3480626
Xinyu,0,0,27.8,114.92,1138873
Huludao,0,0,40.72,120.83,2787032
Chenzhou,0,0,25.8,113.05,4559600
Foshan,0,0,23.02,113.12,7197394
Weinan,0,0,34.22,108.83,5520772
Pingxiang,0,0,27.63,113.85,1854515
Yongzhou,0,0,26.22,111.62,5180200
Qiannan,0,0,26.26,107.52,3569847
Shanwei,0,0,22.78,115.37,2130000
Shangrao,0,0,28.45,117.97,6579714
Sanya,0,0,18.25,109.5,685408
Dingzhou,0,0,38.52,114.98,1165200
Luohe,0,0,33.57,114.03,2544266
Xianning,0,0,29.88,114.22,2462583
Loudi,0,0,27.73,112,3785627
Sanmenxia,0,0,34.77,111.2,2234018
Qingyuan,0,0,23.82,113.03,3698412
Suining,0,0,30.52,105.57,3252551
Fuzhou2,0,0,27.95,116.35,3912300
Yangquan,0,0,37.85,113.57,1368502
Qianjiang,0,0,30.4,112.9,118265
Taizhou2,0,0,28.67,121.35,5909500
Jieyang,0,0,23.4,116.48,6739400
Tongren,0,0,27.72,109.18,3092400
Huaihua,0,0,27.55,109.97,5000000
Weihai,0,0,37.52,122.12,2804800
Yanbian,0,0,43.13,129.18,2271600
Tongling,0,0,30.93,117.77,741500
Chizhou,0,0,30.63,117.47,1550000
