,City,Pop (2000),lat,lon
1,Shanghai,13278500,31.23,121.47
2,Beijing,7209900,39.93,116.4
3,Wuhan,4104300,30.58,114.27
4,Chengdu,4064700,30.67,104.07
5,Tianjin,3945900,39.13,117.2
6,Shenyang,3527800,41.8,123.45
7,Xian,3480600,34.27,108.9
8,Chongqing,3378900,29.57,106.58
9,Guangzhou,3244900,23.12,113.25
10,Harbin,3129300,45.75,126.65
11,Nanjing,2870200,32.05,118.78
12,Taiyuan,2690500,37.87,112.55
13,Changchun,2337000,43.87,125.35
14,Zhengzhou,2052700,34.75,113.67
15,Jiulong,2040200,22.32,114.17
16,Jinan,1961500,36.67,117
17,Dalian,1925200,38.92,121.65
18,Changsha,1891000,28.2,112.97
19,Hangzhou,1881500,30.25,120.17
20,Shijiazhuang,1683800,38.05,114.48
21,Nanchang,1657900,28.68,115.88
22,Jilin,1625700,43.85,126.55
23,Tangshan,1600600,39.38,118.1
24,Qingdao,1584300,36.07,120.32
25,Urumqi,1424300,43.8,87.58
26,Luoyang,1417200,34.68,112.47
27,Xinyang,1412300,32.13,114.07
28,Lanzhou,1409200,36.05,103.68
29,Fushun,1409000,41.87,123.88
30,Hefei,1362900,31.85,117.28
31,Xianggangdao,1345800,22.27,114.14
32,Baotou,1226600,40.6,110.05
33,Anshan,1226200,41.12,122.95
34,Shantou,1221300,23.37,116.67
35,Guiyang,1160700,26.58,106.72
36,Suzhou,1150200,31.3,120.62
37,Handan,1129800,36.58,114.48
38,Fuzhou,1120200,26.08,119.3
39,Xuzhou,1099200,34.27,117.18
40,Datong,1053600,40.08,113.3
41,Wuxi,1010500,31.58,120.3
42,Xianyang,976200,34.37,108.7
43,Kunming,967900,25.05,102.7
44,Benxi,918900,41.33,123.75
45,Changzhou,917400,31.78,119.97
46,Pingdingshan,906700,33.73,113.3
47,Baoding,888100,38.87,115.48
48,Nanning,880400,22.82,108.32
49,Wenzhou,867200,28.02,120.65
50,Qiqihar,860000,47.35,124
51,Huainan,859300,32.63,116.98
52,Huaibei,808100,33.95,116.75
53,Xining,782700,36.62,101.77
54,Hengyang,780700,26.97,112.35
55,Hohhot,762700,40.82,111.64
56,Anyang,759900,36.08,114.35
57,Xinxiang,757800,35.32,113.87
58,Shenzhen,752200,22.53,114.13
59,Liuzhou,748200,24.28,109.25
60,Zhaotong,742400,27.32,103.72
61,Zhuzhou,729000,27.83,113.15
62,Hegang,724700,47.4,130.37
63,Langfang,721800,39.52,116.68
64,Ningbo,721100,29.88,121.55
65,Zigong,709900,29.4,104.78
66,Qinhuangdao,707200,39.93,119.62
67,Xiangtan,692900,27.85,112.9
68,Fuxin,687800,42.01,121.65
69,Changzhi,683600,35.22,111.75
70,Zhangdian,679200,36.8,118.06
71,Nantong,677200,26.63,118.17
72,Huangshi,671400,30.22,115.1
73,Rongcheng,669500,23.54,116.34
74,Yantai,652200,37.53,121.4
75,Liaoyang,650100,41.28,123.18
76,Shatian,648400,22.38,114.19
77,Mudanjiang,646700,44.58,129.6
78,Zhenjiang,643000,32.22,119.43
79,Yancheng,638800,33.39,120.12
80,Shaoyang,636700,27,111.2
81,Jinzhou,630800,41.12,121.1
82,Taizhou,622400,32.49,119.9
83,Taian,618900,36.2,117.12
84,Dandong,604600,40.13,124.4
85,Luancheng,598500,37.88,114.65
86,Panjin,582200,41.18,122.05
87,Guilin,580200,25.28,110.28
88,Kaifeng,577400,34.85,114.35
89,Zhangjiakou,573800,40.83,114.93
90,Yingkou,571400,40.67,122.28
91,Haikou,568900,20.05,110.32
92,Zhanjiang,568000,21.2,110.38
93,Huaiyin,564400,33.58,119.03
94,Neijiang,562700,29.58,105.05
95,Puyang,561300,35.7,114.98
96,Bengbu,561200,32.95,117.33
97,Shihezi,553400,44.3,86.03
98,Yangzhou,548600,32.4,119.43
99,Jiamusi,548400,46.83,130.35
100,Yueyang,542800,29.38,113.1
101,Maanshan,536700,31.73,118.48
102,Xiamen,535600,24.45,118.08
103,Shaoguan,529300,24.8,113.58
104,Zhangzhou,519700,24.52,117.67
105,Wuhu,512500,31.35,118.37
106,Xingtai,512500,37.07,114.49
107,Zhunmen,499600,22.41,113.98
108,Jiaozuo,497800,35.25,113.22
109,Foshan,496300,23.03,113.12
110,Yuanlong,494800,22.44,114.02
111,Tanggu,490000,39,117.67
112,Zhangye,489600,38.93,100.45
113,Siping,486800,43.17,124.33
115,Yichang,478200,30.7,111.28
116,Panzhihua,473900,26.58,101.68
117,Xiangfan,471500,32.02,112.13
118,Jiaojiang,470500,28.68,121.45
119,Cangzhou,470400,38.32,116.87
120,Liaoyuan,470400,42.9,125.13
121,Jiaxing,466900,30.77,120.75
122,Yinchuan,465900,38.47,106.32
123,Zhuhai,460600,22.28,113.57
124,Changde,457600,29.03,111.68
125,Jiangmen,457500,22.58,113.08
126,Aomen,453300,22.27,113.56
127,Shashi,446100,30.32,112.23
128,Chengde,442300,41.55,120.42
129,Hengshui,432500,37.72,115.7
130,Luqiao,428600,28.58,121.38
131,Baoji,415200,34.38,107.15
132,Yangquan,402100,37.87,113.57
133,Zunyi,401200,27.7,106.92
134,Jining,399900,35.4,116.55
135,Shiyan,398000,32.57,110.78
136,Dongguan,380700,23.05,113.73
137,Pingxiang,379900,27.62,113.85
138,Weifang,376700,36.72,119.1
139,Putian,371700,25.43,119.02
140,Xuchang,371200,34.02,113.82
142,Xigong,365600,22.33,114.25
143,Changji,365400,44.02,87.32
144,Yangjiang,365000,21.85,111.97
145,Qitaihe,356500,45.8,130.85
146,Chaozhou,354200,23.67,116.64
147,Luohe,350900,33.57,114.03
148,Shaoxing,350700,30,120.57
149,Chaoyang,350100,41.55,120.42
150,Anqing,346600,30.5,117.05
151,Maoming,346500,21.92,110.87
152,Jixi,345200,45.3,130.97
153,Zhoukou,345000,33.64,114.63
154,Jinxi,337300,40.75,120.83
155,Shiongshui,336300,22.52,114.12
156,Zhongshan,334100,22.53,113.35
157,Zhaoqing,331400,23.05,112.45
158,Dongchang,328500,41.73,125.93
159,Tieling,324100,42.3,123.82
160,Daipo,322300,22.45,114.16
161,Xinpu,322200,34.6,119.17
162,Dezhou,317900,37.45,116.3
163,Luzhou,317200,28.88,105.38
164,Jingdezhen,314400,29.27,117.18
165,Chifeng,314200,42.27,118.95
166,Shishi,308800,24.43,118.42
167,Tongling,307600,30.95,117.78
168,Dongying,303800,37.5,118.52
169,Yanji,302900,42.88,129.52
170,Suizhou,302700,31.71,113.36
171,Xuanhua,302600,40.6,115.03
172,Baicheng,292300,45.62,122.82
173,Hulan ergi,283200,47.21,123.61
174,Anshun,283100,26.25,105.93
175,Quanwan,277700,22.37,114.11
176,Sanmenxia,274100,34.83,111.08
177,Linyi,268500,35.08,118.33
178,Jiujiang,268200,29.73,115.98
179,Huizhou,265700,23.08,114.4
180,Nanyang,265500,33,112.53
181,Wuzhou,264200,23.48,111.32
182,Yingcheng,263600,30.94,113.57
183,Aksu,263500,41.15,80.25
184,Mianyang,261800,31.47,104.77
185,Jincheng,259600,35.5,112.83
186,Wafangdian,258400,39.62,122
187,Shangrao,258300,28.47,117.97
188,Tongliao,257500,43.62,122.27
189,Suihua,256700,46.63,126.98
190,Heze,256600,35.23,115.45
191,Sucheng,254200,33.95,118.29
192,Jining2,248400,41.04,113.09
193,Laohekou,248300,32.39,111.66
194,Rizhao,246800,35.43,119.45
195,Yibin,246400,28.77,104.57
196,Kashi,240400,39.48,75.97
197,Yining,240000,43.9,81.35
198,Hebi,239300,35.95,114.22
199,Mianchang,238900,23.26,116.59
200,Beihai,238200,21.48,109.1
201,Ganzhou,236500,25.95,114.93
202,Xiantao,234800,30.38,113.45
203,Jinzhou2,231900,39.1,121.71
204,Ranghulu,229800,46.65,124.86
205,Chuzhou,228500,32.3,118.3
206,Linfen,226000,36.08,111.52
207,Liaocheng,225700,36.43,115.97
208,Saertu,225700,46.59,125.02
209,Tongchuan,224500,35.08,109.03
210,Xintai,223600,35.9,117.76
211,Guangyuan,223100,32.43,105.87
212,Yuci,221700,37.68,112.73
213,Tianmen,220100,30.66,113.16
214,Nanchong,219700,30.78,106.13
215,Wuxue,219100,29.85,115.55
216,Yiyang,218800,28.6,112.33
217,Shuangyashan,209300,46.67,131.35
218,Zhumadian,209000,32.97,114.05
219,Haicheng,206400,40.86,122.74
220,Sanming,205500,26.23,117.58
221,Linxia,203200,35.61,103.21
222,Suzhou2,199500,33.64,117
223,Yuncheng,197500,35.02,110.98
224,Hailar,197300,49.23,119.71
225,Anda,197000,46.4,125.32
226,Zouxian,196500,35.41,116.94
227,Chenzhou,193300,25.8,113.03
228,Badaojiang,192900,41.94,126.44
229,Wanxian,191700,30.82,108.4
230,Shangqiu,191300,34.44,115.64
231,Haibowan,190000,39.66,106.8
232,Ezhou,189300,30.4,114.83
233,Quanzhou,188200,24.9,118.58
234,Zaoyang,187900,32.13,112.75
235,Kaiyuan,186200,23.72,103.24
236,Dongling,184600,41.82,123.56
237,Zaozhuang,184000,34.88,117.57
238,Jiutai,183800,44.15,125.84
239,Baiyin,183500,36.53,104.2
240,Yizheng,183100,32.27,119.2
241,Jingzhou,181200,30.35,112.18
242,Qincheng,176700,34.6,105.92
243,Nanping,176300,26.63,118.17
244,Hangu,175600,39.23,117.78
245,Laiyang,174900,36.97,120.7
246,Luan,174700,31.75,116.48
247,Xianning,173900,29.88,114.22
248,Jingmen,170900,31.03,112.19
249,Weinan,170800,34.5,109.5
250,Jiaozhou,170200,36.29,120
251,Liupanshui,169600,26.58,104.86
252,Jian,169400,27.13,115
253,Bozhou,169300,33.87,115.76
254,Fuling,168900,29.72,107.35
